[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Preprocessing — raw_chars=26 | tokens_awal=4 | stopwords_dihapus=1 | token_di-stem=1 | token_akhir=3
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Preprocessing — raw_chars=8 | tokens_awal=1 | stopwords_dihapus=0 | token_di-stem=0 | token_akhir=1
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Preprocessing — raw_chars=6 | tokens_awal=1 | stopwords_dihapus=0 | token_di-stem=1 | token_akhir=1
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Preprocessing — raw_chars=1857 | tokens_awal=250 | stopwords_dihapus=91 | token_di-stem=58 | token_akhir=159
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Content profile selesai — event_id=18 | panjang_profil=1160 karakter
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Membangun content profile — event_id=20 | title='COAST TO COAST NIGHT TRAIL ULTRA#9' | category='Sports'
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Preprocessing — raw_chars=34 | tokens_awal=6 | stopwords_dihapus=1 | token_di-stem=0 | token_akhir=5
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Preprocessing — raw_chars=6 | tokens_awal=1 | stopwords_dihapus=0 | token_di-stem=0 | token_akhir=1
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Preprocessing — raw_chars=10 | tokens_awal=1 | stopwords_dihapus=0 | token_di-stem=0 | token_akhir=1
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Preprocessing — raw_chars=704 | tokens_awal=100 | stopwords_dihapus=33 | token_di-stem=23 | token_akhir=67
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Content profile selesai — event_id=20 | panjang_profil=557 karakter
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Membangun content profile — event_id=21 | title='Tur Kuratorial Pameran Awal Tahun' | category='Arts'
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Preprocessing — raw_chars=33 | tokens_awal=5 | stopwords_dihapus=2 | token_di-stem=1 | token_akhir=3
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Preprocessing — raw_chars=4 | tokens_awal=1 | stopwords_dihapus=0 | token_di-stem=0 | token_akhir=1
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Preprocessing — raw_chars=10 | tokens_awal=1 | stopwords_dihapus=0 | token_di-stem=0 | token_akhir=1
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Preprocessing — raw_chars=781 | tokens_awal=94 | stopwords_dihapus=41 | token_di-stem=16 | token_akhir=53
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Content profile selesai — event_id=21 | panjang_profil=500 karakter
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Membangun content profile — event_id=22 | title='JIFFINA' | category='Exhibition'
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Preprocessing — raw_chars=7 | tokens_awal=1 | stopwords_dihapus=0 | token_di-stem=0 | token_akhir=1
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Preprocessing — raw_chars=10 | tokens_awal=1 | stopwords_dihapus=0 | token_di-stem=0 | token_akhir=1
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Preprocessing — raw_chars=10 | tokens_awal=1 | stopwords_dihapus=0 | token_di-stem=0 | token_akhir=1
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Preprocessing — raw_chars=1120 | tokens_awal=140 | stopwords_dihapus=47 | token_di-stem=22 | token_akhir=93
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Content profile selesai — event_id=22 | panjang_profil=748 karakter
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Membangun content profile — event_id=25 | title='Numplak Wajik' | category='Cultural'
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Preprocessing — raw_chars=13 | tokens_awal=2 | stopwords_dihapus=0 | token_di-stem=0 | token_akhir=2
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Preprocessing — raw_chars=8 | tokens_awal=1 | stopwords_dihapus=0 | token_di-stem=0 | token_akhir=1
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Preprocessing — raw_chars=10 | tokens_awal=1 | stopwords_dihapus=0 | token_di-stem=0 | token_akhir=1
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Preprocessing — raw_chars=1609 | tokens_awal=217 | stopwords_dihapus=73 | token_di-stem=45 | token_akhir=144
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Content profile selesai — event_id=25 | panjang_profil=1073 karakter
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Membangun content profile — event_id=26 | title='Garebeg Sawal' | category='Cultural'
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Preprocessing — raw_chars=13 | tokens_awal=2 | stopwords_dihapus=0 | token_di-stem=0 | token_akhir=2
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Preprocessing — raw_chars=8 | tokens_awal=1 | stopwords_dihapus=0 | token_di-stem=0 | token_akhir=1
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Preprocessing — raw_chars=10 | tokens_awal=1 | stopwords_dihapus=0 | token_di-stem=0 | token_akhir=1
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Preprocessing — raw_chars=1590 | tokens_awal=205 | stopwords_dihapus=71 | token_di-stem=39 | token_akhir=134
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Content profile selesai — event_id=26 | panjang_profil=1058 karakter
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Membangun content profile — event_id=27 | title='Upacara Melasti' | category='Cultural'
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Preprocessing — raw_chars=15 | tokens_awal=2 | stopwords_dihapus=0 | token_di-stem=0 | token_akhir=2
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Preprocessing — raw_chars=8 | tokens_awal=1 | stopwords_dihapus=0 | token_di-stem=0 | token_akhir=1
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Preprocessing — raw_chars=10 | tokens_awal=1 | stopwords_dihapus=0 | token_di-stem=0 | token_akhir=1
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Preprocessing — raw_chars=1112 | tokens_awal=148 | stopwords_dihapus=44 | token_di-stem=28 | token_akhir=104
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Content profile selesai — event_id=27 | panjang_profil=807 karakter
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Membangun content profile — event_id=28 | title='Jogja Enjoy Music Asyik' | category='Entertainment'
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Preprocessing — raw_chars=23 | tokens_awal=4 | stopwords_dihapus=0 | token_di-stem=0 | token_akhir=4
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Preprocessing — raw_chars=13 | tokens_awal=1 | stopwords_dihapus=0 | token_di-stem=0 | token_akhir=1
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Preprocessing — raw_chars=8 | tokens_awal=1 | stopwords_dihapus=0 | token_di-stem=0 | token_akhir=1
[2026-03-09 19:14:04] [DEBUG   ] [pinarak.ml] — Preprocessing — raw_chars=311 | tokens_awal=43 | stopwords_dihapus=17 | token_di-stem=3 | token_akhir=26
